id,item_id,name,gender,country,age,is_speaker
491,80,"{""en"": ""Student Late Ticket"", ""it"": ""Biglietto Late Studenti""}",male,IT,24,
492,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,IT,38,
493,80,"{""en"": ""Student Late Ticket"", ""it"": ""Biglietto Late Studenti""}",male,IT,0,
494,80,"{""en"": ""Student Late Ticket"", ""it"": ""Biglietto Late Studenti""}",male,TR,23,
495,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",,,,
496,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",male,FR,33,
497,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",male,ES,46,
498,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IN,15,TRUE
499,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",,,,
500,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",male,IT,33,
501,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",female,NL,31,
502,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,US,42,
503,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,NO,31,
504,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",,,,
505,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,NO,27,
506,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IT,36,
507,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
508,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",,,,
509,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,IT,28,
510,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",female,IT,24,
511,78,"{""en"": ""Business Regular Ticket"", ""it"": ""Biglietto Regular Business""}",,,,
512,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,IT,29,
513,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",,,2,
514,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",female,IT,46,
515,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,IT,35,
516,80,"{""en"": ""Student Late Ticket"", ""it"": ""Biglietto Late Studenti""}",,,,
517,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,GB,38,
518,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
519,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,NG,24,
520,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,IT,27,TRUE
521,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",female,TR,0,
522,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
523,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",male,IT,28,
524,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,IT,22,
525,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,IT,32,
526,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
527,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
528,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,NG,39,
529,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",male,CZ,26,
530,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,IT,41,
531,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,IT,41,
532,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",male,DE,36,
533,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
534,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,IT,32,
535,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,IT,38,
536,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",female,IT,31,
537,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
538,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",not_say,IT,30,
539,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
540,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",male,IT,32,
541,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",male,CZ,35,
542,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
543,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",male,IT,33,
544,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
545,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
